2019-11-17 13:44:12,805: 'h'
2019-11-17 13:44:13,485: 'o'
2019-11-17 13:44:14,275: 'w'
2019-11-17 13:44:18,687: 't'
2019-11-17 13:44:19,908: 'o'
2019-11-17 13:44:20,440: Key.space
2019-11-17 13:44:20,853: 'g'
2019-11-17 13:44:21,314: 'e'
2019-11-17 13:44:21,772: 't'
2019-11-17 13:44:22,100: Key.space
2019-11-17 13:44:23,357: 'r'
2019-11-17 13:44:24,284: 'i'
2019-11-17 13:44:24,884: 'd'
2019-11-17 13:44:25,299: Key.space
2019-11-17 13:44:26,850: 'o'
2019-11-17 13:44:27,347: 'f'
2019-11-17 13:44:27,613: Key.space
2019-11-17 13:44:29,455: Key.caps_lock
2019-11-17 13:44:30,308: 'p'
2019-11-17 13:44:30,816: 's'
2019-11-17 13:44:31,514: Key.caps_lock
2019-11-17 13:44:32,537: '4'
2019-11-17 13:44:48,653: Key.space
2019-11-17 13:44:58,572: Key.enter
2019-11-17 13:50:30,323: 'c'
2019-11-17 13:50:30,338: 'k'
2019-11-17 13:50:30,375: 's'
2019-11-17 13:50:30,590: 'd'
2019-11-17 13:50:30,594: 'c'
2019-11-17 13:50:30,594: 'g'
2019-11-17 13:50:30,656: 'k'
2019-11-17 13:50:30,709: 's'
2019-11-17 13:50:30,823: 'c'
2019-11-17 13:51:40,663: 'k'
2019-11-17 13:51:40,833: 'e'
2019-11-17 13:51:41,173: 'y'
2019-11-17 13:51:41,513: 'l'
2019-11-17 13:51:41,697: 'o'
2019-11-17 13:51:42,473: 'g'
2019-11-17 13:51:42,640: 'g'
2019-11-17 13:51:42,884: 'e'
2019-11-17 13:51:42,961: 'r'
2019-11-17 13:51:43,282: Key.space
2019-11-17 13:51:43,958: Key.backspace
2019-11-17 13:51:45,650: 'b'
2019-11-17 13:51:45,837: 'y'
2019-11-17 13:51:46,057: Key.space
2019-11-17 13:51:46,541: Key.backspace
2019-11-17 13:51:47,204: 'p'
2019-11-17 13:51:47,490: 'y'
2019-11-17 13:51:47,781: 't'
2019-11-17 13:51:47,921: 'h'
2019-11-17 13:51:48,092: 'o'
2019-11-17 13:51:48,447: 'n'
2019-11-17 13:53:14,565: Key.ctrl_l
2019-11-17 13:53:14,815: 'a'
